등종류,행정동,소재지 주소,상세위치,위도,경도,데이터기준일
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리177-7,,33.20442963,126.2895889,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리179-3,,33.20465851,126.2896881,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리179-4,,33.20592499,126.2898788,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리179-4,,33.20625305,126.289978,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리179-4,,33.20656586,126.2901764,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리130-9,,33.20680618,126.2904434,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리130-9,,33.20705795,126.2906876,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리130-8,,33.20730972,126.2909622,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리130-4,,33.2075119,126.2912292,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2078-32,,33.23800278,126.2688522,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2411-3,,33.23769379,126.2686157,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2411-3,,33.23744583,126.2684174,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2411-3,,33.23721313,126.2682266,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2412-5,,33.23694611,126.268013,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2412-5,,33.23671341,126.2678299,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2412-6,,33.23640442,126.2675858,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2416-5,,33.23612595,126.2673645,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2416-6,,33.23589325,126.2671814,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2416-7,,33.23566055,126.2669983,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2417-3,,33.23539352,126.266777,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2420-3,,33.23508453,126.2665253,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리2420-3,,33.23485947,126.2663803,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3459-5,,33.23468018,126.266243,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3459-5,,33.23442841,126.2660294,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리3456-6,,33.23413086,126.2657776,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1695-6,,33.19932556,126.27211,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1720-2,,33.19989395,126.2713547,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 상모리1720-2,,33.20026016,126.2704391,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리105-1,,33.20019531,126.2694626,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리105-1,,33.20001602,126.2684784,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리105-1,,33.19986725,126.2675018,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리105-1,,33.2000618,126.2665253,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리105-1,,33.20063782,126.2658386,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리275-3,,33.211483,126.2622299,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리275-3,,33.21162033,126.261734,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리275-3,,33.211689,126.2611694,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리634-31,,33.21163559,126.2605972,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리634-31,,33.21152115,126.2601013,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리625-13,,33.21142578,126.2595291,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리634-27,,33.21133041,126.2589188,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리634-31,,33.21129227,126.2585144,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리634-29,,33.21131134,126.2580643,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리646-16,,33.21132278,126.2575531,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리634-31,,33.21121979,126.2577286,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리634-31,,33.211483,126.2603455,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리275-3,,33.211586,126.2608719,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리275-3,,33.21157837,126.2614975,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리275-3,,33.21145248,126.2619553,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리275-3,,33.21129227,126.2625198,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리646-3,,33.21138,126.2569733,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리646-9,,33.21130371,126.2564316,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리648-6,,33.21136093,126.2559128,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.211586,126.2554855,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21190643,126.2551193,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리656-4,,33.21225739,126.2547379,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리654-8,,33.21257019,126.2543945,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21291733,126.2540359,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21324158,126.2536545,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21357727,126.2533035,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리697-2,,33.21439743,126.2528839,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리697-2,,33.21525192,126.2527313,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리694-7,,33.21540833,126.2525787,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리694-7,,33.21497345,126.2526703,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리694-7,,33.21455002,126.2527313,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21408463,126.252861,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21368027,126.2530899,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21332169,126.253418,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21265793,126.2541351,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21198273,126.2548447,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리648-5,,33.21136856,126.2555695,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리646-3,,33.21124268,126.2561111,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리634-31,,33.21123505,126.2572021,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21298599,126.2537842,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21165466,126.2552032,2025-07-25
가로등,대정읍,제주특별자치도 서귀포시 대정읍 하모리681-3,,33.21231842,126.2545013,2025-07-25
